"item_name","datetime","ducats_per_platinum","ducats","wa_price","ducats_per_platinum_wa","position_change_month","position_change_week","position_change_day","volume"
"Euphona Prime Receiver","2021-08-29 00:00:00","3.33","100","32.9","3.04","-29","19","11","76"
"Euphona Prime Set","2021-08-29 00:00:00","4.0","160","42.73","3.74","14","13","2","324"
"Fang Prime Blade","2021-08-29 00:00:00","3.0","15","4.48","3.35","-46","-32","-5","152"
"Fang Prime Blueprint","2021-08-29 00:00:00","6.0","15","3.21","4.67","-88","-85","-15","201"
"Fang Prime Handle","2021-08-29 00:00:00","3.12","25","8.31","3.01","-26","-24","-4","242"
"Fang Prime Set","2021-08-29 00:00:00","6.33","95","16.18","5.87","-6","12","9","281"
"Fragor Prime Blueprint","2021-08-29 00:00:00","6.5","65","9.78","6.65","0","39","2","71"
"Fragor Prime Handle","2021-08-29 00:00:00","4.33","65","15.67","4.15","4","3","-7","158"
"Fragor Prime Head","2021-08-29 00:00:00","1.5","15","11.34","1.32","6","7","2","161"
"Fragor Prime Set","2021-08-29 00:00:00","2.9","145","49.31","2.94","2","3","2","379"
"Frost Prime Blueprint","2021-08-29 00:00:00","1.54","100","65.4","1.53","-2","9","4","199"
"Frost Prime Chassis","2021-08-29 00:00:00","0.75","15","19.57","0.77","-3","0","-1","179"
"Frost Prime Neuroptics","2021-08-29 00:00:00","1.5","15","9.13","1.6400000000000001","-11","1","-8","533"
"Frost Prime Set","2021-08-29 00:00:00","1.46","175","122.44","1.43","4","5","4","1027"
"Frost Prime Systems","2021-08-29 00:00:00","2.37","45","17.64","2.55","-14","2","-3","208"
"Galatine Prime Blade","2021-08-29 00:00:00","2.14","15","7.65","1.96","-18","-59","-13","243"
"Galatine Prime Blueprint","2021-08-29 00:00:00","2.5","100","39.87","2.51","-1","5","-5","54"
"Galatine Prime Handle","2021-08-29 00:00:00","5.62","45","8.54","5.27","-19","5","1","252"
"Galatine Prime Set","2021-08-29 00:00:00","2.74","160","57.8","2.77","3","-1","0","526"
"Gara Prime Blueprint","2021-08-29 00:00:00","2.0","100","53.04","1.8900000000000001","-35","-52","-13","138"
